Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (development),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
[MSTR] Complete Closet Cleanout and Organization,GMLT-23,10144,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,12/Jul/25 3:19 PM,,,,0,all-family,,"As a family creating organized storage space
I want to completely empty and reorganize the master bedroom closet
So that I can eliminate old clothes, treat for bed bugs, and create functional storage systems.

**Acceptance Criteria:**
1. Remove all clothing, shoes, and items from closet completely
2. Sort all clothing into keep, donate, discard, and seasonal categories
3. Bag all keeping clothes for high-heat washing immediately
4. Remove old, worn, or unused clothing for donation/disposal
5. Vacuum closet floor, walls, and shelving thoroughly
6. Apply bed bug treatment to all closet surfaces and cracks
7. Clean and organize remaining shoes and accessories
8. Install or improve closet organization systems (rods, shelves, bins)",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000av:,,,,,{},,,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,To Do,12/Jul/25 3:12 PM
[MSTR] High-Heat Laundry Processing Schedule,GMLT-24,10145,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,12/Jul/25 3:19 PM,17/Jul/25 4:30 PM,,,0,all-family,,"As a family eliminating bed bugs from clothing
I want to wash all master bedroom clothing on high heat
So that I can kill any bed bugs or eggs while processing the large volume systematically.

**Acceptance Criteria:**
1. Create detailed schedule for 20+ loads of laundry processing
2. Sort clothing by fabric type and washing requirements
3. Wash all washable items on hottest safe water temperature
4. Dry all items on high heat for minimum 30 minutes
5. Process delicate items through alternative heat treatment or disposal
6. Track progress with checklist to ensure all items processed
7. Fold and store clean items in sealed containers until room is treated
8. Establish ongoing laundry routine to prevent future accumulation",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000b3:,,,,,{},,,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,To Do,12/Jul/25 3:12 PM
[MSTR] Bed Bug Monitoring System Setup,GMLT-25,10146,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,12/Jul/25 3:19 PM,,,,0,adults-lead,teen-assist,"As a family tracking treatment effectiveness
I want to establish a comprehensive bed bug monitoring system
So that I can measure progress and identify any remaining activity quickly.

**Acceptance Criteria:**
1. Install bed bug interceptor traps under all bed legs
2. Set up sticky traps in strategic locations around room
3. Create daily inspection checklist for bed bug signs
4. Establish photo documentation system for any findings
5. Create weekly trap checking and replacement schedule
6. Set up monitoring log to track bed bug activity over time
7. Train family members on what to look for during inspections
8. Establish escalation procedures if bed bugs are found",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000bb:,,,,,{},,,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,To Do,12/Jul/25 3:12 PM
[MSTR] Weekly Treatment Application Schedule,GMLT-26,10147,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,12/Jul/25 3:19 PM,,,,0,adults-only,,"As a family maintaining bed bug elimination efforts
I want to establish and follow weekly treatment applications
So that I can ensure continued effectiveness and prevent re-infestation.

**Acceptance Criteria:**
1. Create weekly schedule for bed bug treatment reapplication
2. Apply treatments to same areas consistently each week
3. Rotate treatment products if recommended for resistance prevention
4. Document each application with date, products used, and areas treated
5. Monitor effectiveness between applications using established monitoring system
6. Adjust treatment frequency based on monitoring results
7. Maintain supply inventory to ensure consistent treatment availability
8. Train backup family member to continue treatments if needed",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000bj:,,,,,{},,,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,To Do,12/Jul/25 3:12 PM
[MSTR] Patio Door Screen and Handle Replacement,GMLT-27,10148,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Low,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,12/Jul/25 3:19 PM,,,,0,adults-only,,"As a family improving bedroom functionality and pest prevention
I want to replace the patio door screen and handle
So that I can have proper ventilation and security while preventing pest entry.

**Acceptance Criteria:**
1. Remove old, damaged patio door screen carefully
2. Measure and purchase correctly sized replacement screen
3. Install new screen with proper tension and secure mounting
4. Replace broken or malfunctioning door handle mechanism
5. Test door operation for smooth opening, closing, and locking
6. Ensure screen fits tightly with no gaps for pest entry
7. Clean door frame and tracks thoroughly during installation
8. Apply weatherstripping if needed for better seal",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,,,,{},,,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,To Do,12/Jul/25 3:12 PM
[MSTR] Storage System Installation and Organization,GMLT-28,10149,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,12/Jul/25 3:19 PM,,,,0,all-family,,"As a family maintaining long-term bedroom organization
I want to install new storage systems and organize belongings
So that I can keep the room organized and prevent future clutter accumulation.

**Acceptance Criteria:**
1. Install purchased storage bins and organization systems
2. Return clean, treated clothing to organized storage locations
3. Create designated spaces for all daily items and belongings
4. Label storage containers and areas for easy maintenance
5. Establish daily pickup routine to maintain organization
6. Create seasonal rotation system for clothing storage
7. Set up accessible storage for frequently used items
8. Train all family members on new organization system and maintenance",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000bz:,,,,,{},,,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,To Do,12/Jul/25 3:12 PM
[KITCH] Cabinet Contents Removal and Storage,GMLT-30,10152,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Highest,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:34 PM,,,,0,all-family,,"As a family preparing for comprehensive kitchen pest treatment
I want to remove all items from cabinets into storage containers
So that I can access all surfaces for deep cleaning and treatment while protecting dishes and food.

**Acceptance Criteria:**
1. Remove all dishes, cookware, and appliances from every cabinet
2. Sort items into categories: daily use, occasional use, donate, discard
3. Pack items into purchased storage containers with tight-fitting lids
4. Label all containers with contents and cabinet location for easy return
5. Remove all pantry items and food products for inspection
6. Dispose of expired or pest-contaminated food items immediately
7. Store containers in pest-free area during treatment period
8. Create inventory list of all removed items for tracking",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,GMLT-3,,,,0|i000cf:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Initial Roach Control Treatment Application,GMLT-31,10154,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Highest,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:34 PM,,,,0,adults-only,,"As a family eliminating roach infestation in kitchen
I want to apply initial Advion gel treatment to all problem areas
So that I can begin roach elimination while preparing for deep cleaning.

**Acceptance Criteria:**
1. Apply Advion gel bait to all cabinet corners and crevices
2. Place gel baits near stove, sink, and appliance areas
3. Apply treatment to cabinet tops and hidden areas
4. Place gel in cracks around pipes and electrical outlets
5. Apply treatment behind and under appliances where accessible
6. Document all application locations with photos and notes
7. Apply treatment to window blinds and frames
8. Set initial monitoring schedule to assess bait consumption",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,GMLT-3,,,,0|i000cn:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Cabinet Interior Deep Cleaning,GMLT-32,10156,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:35 PM,,,,0,all-family,,"As a family creating a pest-free kitchen environment
I want to thoroughly clean all cabinet interiors
So that I can remove roach droppings, grease, and food debris that attract pests.

**Acceptance Criteria:**
1. Remove all shelving and shelf liners from cabinets
2. Scrub all interior surfaces with degreasing cleaner
3. Remove all visible roach droppings and debris
4. Clean and disinfect all corners, cracks, and crevices
5. Wipe down cabinet doors inside and outside
6. Clean cabinet hardware and hinges thoroughly
7. Replace or clean shelf liners before reassembly
8. Allow cabinets to dry completely before treatment reapplication",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Countertop Deep Cleaning and Decluttering,GMLT-33,10158,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:35 PM,,,,0,all-family,,"As a family reclaiming functional kitchen workspace
I want to completely declutter and deep clean all countertops
So that I can eliminate pest harborage areas and create efficient food preparation space.

**Acceptance Criteria:**
1. Remove all items from countertops completely
2. Sort countertop items into daily use, store elsewhere, or discard
3. Deep clean all countertop surfaces with appropriate cleaners
4. Clean and treat areas behind small appliances and containers
5. Scrub backsplash areas thoroughly, including grout lines
6. Remove grease buildup and food debris from all surfaces
7. Clean and organize items returning to countertops with designated spots
8. Establish daily countertop clearing routine",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Stove Deep Cleaning and Treatment,GMLT-34,10160,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:35 PM,,,,0,adults-lead,teen-assist,"As a family eliminating major roach attraction points
I want to thoroughly clean the stove interior and exterior
So that I can remove grease and food debris that serves as roach food sources.

**Acceptance Criteria:**
1. Remove stove burner grates, drip pans, and removable components
2. Deep clean all removable parts in sink or dishwasher
3. Clean stove interior thoroughly, including oven and broiler
4. Scrub exterior surfaces and control panel areas
5. Clean behind and under stove where accessible
6. Apply roach treatment to cracks and crevices around stove
7. Clean stove exhaust fan and filter if applicable
8. Reassemble stove with all components clean and properly positioned",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Microwave Replacement and Area Cleaning,GMLT-35,10162,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:35 PM,,,,0,adults-only,,"As a family updating kitchen appliances and eliminating pest harborage
I want to replace the old microwave and clean the installation area
So that I can have functional appliances and eliminate roach hiding spots.

**Acceptance Criteria:**
1. Safely remove old microwave and dispose of properly
2. Clean microwave installation area thoroughly (counter or mounting area)
3. Apply roach treatment to area before new appliance installation
4. Purchase and install new microwave according to manufacturer instructions
5. Clean surrounding area and ensure proper ventilation clearances
6. Test new microwave functionality and safety features
7. Update appliance documentation and warranty information
8. Establish cleaning routine for new appliance maintenance",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000dj:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Cabinet Tops and High Area Cleaning,GMLT-36,10164,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:35 PM,,,,0,adults-only,,"As a family addressing often-overlooked pest harborage areas
I want to clean all cabinet tops and high kitchen areas
So that I can eliminate dust, grease, and debris that attract and hide roaches.

**Acceptance Criteria:**
1. Remove all items stored on top of cabinets
2. Clean cabinet tops thoroughly with degreasing agents
3. Remove accumulated dust, grease, and debris
4. Apply roach treatment to cabinet top areas and crevices
5. Clean light fixtures and ceiling areas accessible from stepladder
6. Organize or eliminate items returning to cabinet tops
7. Establish routine for regular cabinet top maintenance
8. Ensure safe ladder use and have spotter when needed",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000dr:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Window Blinds Deep Cleaning,GMLT-37,10166,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Low,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:36 PM,,,,0,all-family,,"As a family eliminating all roach harborage areas in kitchen
I want to thoroughly clean or replace window blinds
So that I can remove grease, dust, and debris that provide roach hiding places.

**Acceptance Criteria:**
1. Remove blinds from windows if possible for thorough cleaning
2. Clean each blind slat individually with appropriate cleaner
3. Apply roach treatment to window frame areas and crevices
4. Replace blinds if too damaged or difficult to clean effectively
5. Clean window sills and frames thoroughly during blind cleaning
6. Ensure blinds operate properly after cleaning and reinstallation
7. Establish regular blind cleaning schedule to prevent buildup
8. Consider easier-to-clean window treatment alternatives if needed",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000dz:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Weekly Roach Treatment Routine Establishment,GMLT-38,10168,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:36 PM,,,,0,adults-only,,"As a family maintaining roach elimination progress
I want to establish a weekly Advion reapplication routine
So that I can ensure continued effectiveness and prevent re-infestation.

**Acceptance Criteria:**
1. Create weekly schedule for Advion gel reapplication in kitchen
2. Document consumption of previous baits to assess effectiveness
3. Reapply gel to same locations plus any new activity areas
4. Monitor and track roach activity levels weekly
5. Adjust bait placement based on activity patterns observed
6. Maintain supply inventory for consistent treatment availability
7. Create rotation schedule if multiple bait types recommended
8. Train backup family member to continue routine if needed",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000e7:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Clean Item Return and Organization,GMLT-39,10170,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:36 PM,,,,0,all-family,,"As a family completing kitchen restoration
I want to return organized items to clean, treated cabinets
So that I can have a functional, organized kitchen that resists future pest problems.

**Acceptance Criteria:**
1. Inspect all stored items for damage or contamination before return
2. Return items to cabinets in organized, logical groupings
3. Install drawer organizers and shelf systems for better organization
4. Label shelves and storage areas for easy maintenance
5. Create designated spaces for all kitchen tools and appliances
6. Establish daily kitchen cleanup routine to maintain organization
7. Remove unnecessary items that create clutter and hiding spots
8. Train all family members on new organization system",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000ef:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KITCH] Kitchen Storage Solution Installation,GMLT-40,10172,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Low,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:31 PM,12/Jul/25 3:36 PM,,,,0,adults-lead,all-family,"As a family creating long-term kitchen organization
I want to install new storage solutions and organizational systems
So that I can maintain cleanliness and organization while preventing future pest problems.

**Acceptance Criteria:**
1. Install drawer dividers and cabinet organizers as planned
2. Set up pantry organization system with sealed containers for dry goods
3. Install under-sink organization for cleaning supplies
4. Create spice storage system that's easily cleanable
5. Set up recycling and trash system that minimizes pest attraction
6. Install hooks or racks for frequently used items
7. Create designated storage for cleaning supplies and pest control materials
8. Establish maintenance schedule for all organizational systems",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000en:,,,,,{},,,,,10125,GMLT-5,KITCH - Kitchen Pest Elimination & Deep Organization,To Do,12/Jul/25 3:31 PM
[KIDS] Emergency Mattress Encasement Installation,GMLT-41,10174,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Highest,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:50 PM,12/Jul/25 3:50 PM,12/Jul/25 10:04 PM,,,0,adults-only,,"As a family protecting children from bed bug exposure
I want to immediately install mattress encasements on all children's beds
So that I can contain existing bed bugs and create safe sleeping environments for kids.

**Acceptance Criteria:**
1. Install bed bug-proof encasements on all children's mattresses and box springs
2. Ensure proper zipper closure and seal integrity on all encasements
3. Check for tears, gaps, or defects that could allow bed bug escape
4. Label encasements with installation date for tracking
5. Explain to children why encasements are necessary without causing fear
6. Set up daily visual inspection routine for encasement integrity
7. Document any bed bug activity before and after installation
8. Create child-friendly monitoring system they can participate in",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,GMLT-42,GMLT-43,,,,,,,,,,GMLT-3,,,,0|i000ev:,,,,,{},,,,,10126,GMLT-6,KIDS - Children's Bedroom Safety & Organization,To Do,12/Jul/25 3:50 PM
[KIDS] Children's Room 1 Clothing High-Heat Processing,GMLT-42,10176,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:50 PM,12/Jul/25 3:50 PM,21/Jul/25 11:12 PM,,,0,all-family,,"As a family eliminating bed bugs from children's clothing
I want to wash all Kid's Room 1 clothing on high heat
So that I can kill any bed bugs or eggs while teaching children about the process.

**Acceptance Criteria:**
1. Remove all clothing from Kid's Room 1 and sort by washing requirements
2. Create child-friendly washing schedule for approximately 20 loads
3. Wash all washable items on hottest safe water temperature
4. Dry all items on high heat for minimum 30 minutes
5. Involve age-appropriate children in sorting and folding process
6. Store clean clothes in sealed containers until room treatment is complete
7. Dispose of heavily infested or damaged clothing items
8. Teach children about laundry care and organization through the process",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,GMLT-44,GMLT-50,,,,,,,,,,GMLT-3,GMLT-41,,,0|i000f3:,,,,,{},,,,,10126,GMLT-6,KIDS - Children's Bedroom Safety & Organization,To Do,12/Jul/25 3:50 PM
[KIDS] Room 1 Bed Bug Furniture Treatment,GMLT-43,10178,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:50 PM,12/Jul/25 3:50 PM,,,,0,adults-only,,"As a family creating a safe sleeping environment for children
I want to apply comprehensive bed bug treatment to all furniture in Kid's Room 1
So that I can eliminate bed bugs from the child's sleeping and play area.

**Acceptance Criteria:**
1. Apply residual bed bug spray to bed frame, headboard, and all joints
2. Treat dresser, nightstand, and any other furniture thoroughly
3. Apply treatment to baseboards, carpet edges, and window areas
4. Use flashlight inspection to identify all potential bed bug hiding spots
5. Apply treatment to closet areas and door frames
6. Set up bed bug interceptor traps under bed legs
7. Document treatment areas with photos and application dates
8. Ensure child safety during and after treatment application",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,GMLT-45,,,,,,,,,,,GMLT-41,GMLT-3,,,0|i000fb:,,,,,{},,,,,10126,GMLT-6,KIDS - Children's Bedroom Safety & Organization,To Do,12/Jul/25 3:50 PM
[KIDS] Room 1 Clothing and Toy Purge,GMLT-44,10180,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:50 PM,12/Jul/25 3:50 PM,21/Jul/25 11:39 PM,,,0,adults-lead,child-participate,"As a family reducing clutter and potential bed bug harborage
I want to systematically purge old clothes and toys from Kid's Room 1
So that I can create organized space while involving the child in decision-making.

**Acceptance Criteria:**
1. Involve child in sorting clothes into keep, donate, and outgrown categories
2. Remove clothes that no longer fit or are damaged beyond repair
3. Sort toys into keep, donate, broken, and lost pieces categories
4. Dispose of toys that cannot be effectively cleaned or treated
5. Create donation bags and remove from home immediately
6. Bag all keeping items for washing or appropriate treatment
7. Take photos of child with donated items for positive reinforcement
8. Teach child about organization and the value of sharing with others",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,GMLT-45,GMLT-49,,,,,,,,,,GMLT-42,,,,0|i000fj:,,,,,{},,,,,10126,GMLT-6,KIDS - Children's Bedroom Safety & Organization,To Do,12/Jul/25 3:50 PM
[KIDS] Room 1 Deep Surface Cleaning and Treatment,GMLT-45,10182,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:50 PM,12/Jul/25 3:50 PM,,,,0,adults-lead,teen-assist,"As a family creating a thoroughly clean child's bedroom
I want to deep clean and treat all surfaces in Kid's Room 1
So that I can eliminate bed bugs, dirt, and create a healthy environment.

**Acceptance Criteria:**
1. Vacuum all surfaces including mattress, carpet, and furniture thoroughly
2. Wipe down all hard surfaces with appropriate cleaners
3. Clean windows, window sills, and frames completely
4. Dust all surfaces including light fixtures and ceiling fan
5. Apply bed bug treatment to any missed areas or new discoveries
6. Clean behind and under furniture that can be safely moved
7. Dispose of vacuum bag immediately after use
8. Allow room to dry and air out properly before returning items",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,GMLT-46,,,,,,,,,,,GMLT-43,GMLT-44,,,0|i000fr:,,,,,{},,,,,10126,GMLT-6,KIDS - Children's Bedroom Safety & Organization,To Do,12/Jul/25 3:50 PM
[KIDS] Room 1 Bed Bug Monitoring System Setup,GMLT-46,10184,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:50 PM,12/Jul/25 3:50 PM,,,,0,adults-lead,child-participate,"As a family tracking bed bug elimination progress
I want to establish child-friendly monitoring in Kid's Room 1
So that I can measure treatment effectiveness while teaching children to participate.

**Acceptance Criteria:**
1. Install bed bug interceptor traps under bed legs with child observation
2. Set up sticky traps in strategic, child-safe locations
3. Create simple, visual inspection checklist appropriate for child's age
4. Teach child what to look for and how to report findings safely
5. Establish weekly trap checking routine with child participation
6. Create reward system for child participation in monitoring
7. Document findings with photos and simple tracking charts
8. Set up escalation procedure if bed bugs are discovered",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,GMLT-52,GMLT-53,,,,,,,,,,GMLT-45,,,,0|i000fz:,,,,,{},,,,,10126,GMLT-6,KIDS - Children's Bedroom Safety & Organization,To Do,12/Jul/25 3:50 PM
